display_group,level_1,normalized_distance,median_distance
HIV-1 6+,q25_normalized_distance,0.2222222222222222,55.0
HIV-1 6+,q75_normalized_distance,0.34196891191709844,55.0
HIV-1 6+,mean_normalized_distance,0.26960492251064844,55.0
HIV-1 6+,median_normalized_distance,0.2864321608040201,55.0
HIV-1 6+,n,780625.0,55.0
HIV-1 9+,q75_normalized_distance,0.17,26.0
HIV-1 9+,q25_normalized_distance,0.1,26.0
HIV-1 9+,mean_normalized_distance,0.13595729974717505,26.0
HIV-1 9+,median_normalized_distance,0.13,26.0
HIV-1 9+,n,1345620.0,26.0
HIV-1 11+,n,2370753.0,59.0
HIV-1 11+,q75_normalized_distance,0.36649214659685864,59.0
HIV-1 11+,q25_normalized_distance,0.25,59.0
HIV-1 11+,mean_normalized_distance,0.3065857427076774,59.0
HIV-1 11+,median_normalized_distance,0.3089005235602094,59.0
HIV-1 13+,q25_normalized_distance,0.07936507936507936,21.0
HIV-1 13+,mean_normalized_distance,0.12975067795254774,21.0
HIV-1 13+,median_normalized_distance,0.1111111111111111,21.0
HIV-1 13+,n,708645.0,21.0
HIV-1 13+,q75_normalized_distance,0.14814814814814814,21.0
HIV-2 185+,n,435.0,54.0
HIV-2 185+,median_normalized_distance,0.27,54.0
HIV-2 185+,mean_normalized_distance,0.23274484520696054,54.0
HIV-2 185+,q25_normalized_distance,0.15577889447236182,54.0
HIV-2 185+,q75_normalized_distance,0.30379941547454237,54.0
HIV-2 188+,q75_normalized_distance,0.1658291457286432,27.0
HIV-2 188+,q25_normalized_distance,0.07575757575757576,27.0
HIV-2 188+,mean_normalized_distance,0.12232336651098877,27.0
HIV-2 188+,median_normalized_distance,0.13636363636363635,27.0
HIV-2 188+,n,465.0,27.0
HTLV-1 2+,q75_normalized_distance,0.05527638190954774,6.0
HTLV-1 2+,q25_normalized_distance,0.020100502512562814,6.0
HTLV-1 2+,mean_normalized_distance,0.042355454285315244,6.0
HTLV-1 2+,n,1176.0,6.0
HTLV-1 2+,median_normalized_distance,0.03015075376884422,6.0
HTLV-1 4+,q75_normalized_distance,0.07035175879396985,6.0
HTLV-1 4+,q25_normalized_distance,0.020202020202020204,6.0
HTLV-1 4+,mean_normalized_distance,0.04150646764990642,6.0
HTLV-1 4+,median_normalized_distance,0.030303030303030304,6.0
HTLV-1 4+,n,561.0,6.0
HTLV-1 7+,q75_normalized_distance,0.03,4.0
HTLV-1 7+,mean_normalized_distance,0.02445548254090968,4.0
HTLV-1 7+,median_normalized_distance,0.02,4.0
HTLV-1 7+,n,780.0,4.0
HTLV-1 7+,q25_normalized_distance,0.015,4.0
HTLV-1 10+,n,946.0,5.0
HTLV-1 10+,median_normalized_distance,0.025,5.0
HTLV-1 10+,mean_normalized_distance,0.032108879492600426,5.0
HTLV-1 10+,q25_normalized_distance,0.02,5.0
HTLV-1 10+,q75_normalized_distance,0.035,5.0
HTLV-1 12+,q75_normalized_distance,0.055,7.0
HTLV-1 12+,q25_normalized_distance,0.025,7.0
HTLV-1 12+,mean_normalized_distance,0.04217130451757534,7.0
HTLV-1 12+,median_normalized_distance,0.035,7.0
HTLV-1 12+,n,1596.0,7.0
